city,pinyin
恩施土家族苗族自治州,Enshi Tujia and Miao
神农架林,Shennongjia
襄阳,Xiangfan
随州,Suizhou Shi
漯河,Luohe
湘西土家族苗族自治州,Xiangxi Tujia and Miao
六安,Lu'an
马鞍山,Ma'anshan
吉安,Ji'an
巴南,Ba
璧山,Bishan
长寿,Changshou
城口,Chengkou
大足,Dazu
垫江,Dianjiang
丰都,Fengdu
奉节,Fengjie
涪陵,Fuling
合川,Hechuan
江北,Jiangbei
江津,Jiangjin
开州,Kai
梁平,Liangping
,Nanchuan
,Pengshui
黔江,Qianjiang
綦江,Qijiang
荣昌,Rongchang
石柱土家族自治,Shizhu
铜梁,Tongliang
潼南,Tongnan
万州,Wan
武隆,Wulong
巫山,Wushan
巫溪,Wuxi
秀山土家族苗族自治,Xiushan
永川,Yongchuan
,Youyang
云阳,Yunyang
忠,Zhong
甘孜藏族自治州,Garzê Tibetan
阿坝藏族羌族自治州,Ngawa Tibetan and Qiang
凉山彝族自治州,Liangshan Yi
雅安,Ya'an
峨眉山,Meishan
广安,Guang'an
淮安,Huai'an
泰安,Tai'an
乌鲁木齐市,Ürümqi
伊犁哈萨克自治州,
第七师,
第八师石河子市,Shihezi
吐鲁番,Turfan
阿克苏地区,Aksu
第八师石河子,Shihezi
巴彦淖尔,Baynnur
呼和浩特,Hohhot
呼伦贝尔,Hulunbuir
鄂尔多斯,Ordos
乌兰察布,Ulaan Chab
锡林郭勒盟,Xilin Gol
兴安盟,Xing'an
拉萨,Lhasa
大兴安岭地,Daxing'anling
哈尔滨,Harbin
齐齐哈尔,Qiqihar
